FbS-0 (lbf-ft/ft),18100
EI-0 (10^6 lbf-in^2/ft),1000
GA-0 (10^6 lbf/ft),1.3
V-0 (lbf/ft),3455
FbS-90  (lbf-ft/ft),3150
EI-90 (10^6 lbf-in^2/ft),310
GA-90 (10^6 lbf/ft),1.7
V-90 (lbf/ft),2400
